# m d y		new	total	recov	hosp	ICU	death	ie	n	pm	south	wpg	tests
3 13 2020	2
3 14 2020	1
3 15 2020	0
3 16 2020	3
3 17 2020	1
3 18 2020	8
3 19 2020	1
3 20 2020	1
3 21 2020	0
3 22 2020	1
3 23 2020	3
3 24 2020	1
3 25 2020	6
3 26 2020	9
3 27 2020	27
3 28 2020	9
3 29 2020	22
3 30 2020	8
3 31 2020	28
4 1 2020	34
4 2 2020	17
4 3 2020	10
4 4 2020 	10	203	17	11	7	2	10	2	11	23	157
4 5 2020 	1	204	17	11	7	2	10	2	11	23	158	13476
4 6 2020	13	217	21	12	6	2	11	3	11	23	169	14280
4 7 2020	3
4 8 2020	2	224	76	11	5	3	14	3	11	23	172	15259
4 9 2020	6
4 10 2020	12
4 11 2020	1
4 12 2020	2
4 13 2020	0
4 14 2020	4
4 15 2020	3	250	121	8	4	5	19	3	12	28	188	18349
